Count	Timestamp	Time since start (s)		Cray node E (J)	Cray cpu E (J)	Cray memory E (J)	Cray node E since start (J)	Cray cpu E since start (J)	Cray memory E since start (J)	Cray node P (W)	Cray cpu P (W)	Cray memory P (W)	Cray node P calc (W)	Cray cpu P calc (W)	Cray memory P calc (W)	Cpufreq frequency (MHz)	Cray frequency (MHz)	
--- EMON TAG START: application_summary
0	2019-08-21 17:11:59	0.000000	697133384.000000	403161987.000000	46631040.000000	13.000000	8.000000	1.000000	124.000000	79.000000	13.000000	0.445052	0.257380	0.029769	1301.000000	10.000000	
1	2019-08-21 17:12:00	1.000000	697133442.000000	403162022.000000	46631046.000000	71.000000	43.000000	7.000000	112.000000	80.000000	13.000000	116.000000	70.000000	12.000000	1301.000000	10.000000	
2	2019-08-21 17:12:00	1.000000	697133503.000000	403162062.000000	46631053.000000	132.000000	83.000000	14.000000	127.000000	79.000000	13.000000	122.000000	80.000000	14.000000	1301.000000	10.000000	
3	2019-08-21 17:12:01	2.000000	697133567.000000	403162102.000000	46631059.000000	196.000000	123.000000	20.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
4	2019-08-21 17:12:01	2.000000	697133630.000000	403162141.000000	46631066.000000	259.000000	162.000000	27.000000	127.000000	80.000000	13.000000	126.000000	78.000000	14.000000	1301.000000	10.000000	
5	2019-08-21 17:12:02	3.000000	697133693.000000	403162181.000000	46631072.000000	322.000000	202.000000	33.000000	127.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
6	2019-08-21 17:12:02	3.000000	697133756.000000	403162221.000000	46631079.000000	385.000000	242.000000	40.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
7	2019-08-21 17:12:03	4.000000	697133820.000000	403162260.000000	46631085.000000	449.000000	281.000000	46.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
8	2019-08-21 17:12:03	4.000000	697133884.000000	403162300.000000	46631092.000000	513.000000	321.000000	53.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
9	2019-08-21 17:12:04	5.000000	697133947.000000	403162340.000000	46631098.000000	576.000000	361.000000	59.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
10	2019-08-21 17:12:04	5.000000	697134011.000000	403162380.000000	46631104.000000	640.000000	401.000000	65.000000	128.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
11	2019-08-21 17:12:05	6.000000	697134075.000000	403162419.000000	46631111.000000	704.000000	440.000000	72.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
12	2019-08-21 17:12:05	6.000000	697134139.000000	403162459.000000	46631117.000000	768.000000	480.000000	78.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
13	2019-08-21 17:12:06	7.000000	697134202.000000	403162499.000000	46631124.000000	831.000000	520.000000	85.000000	127.000000	80.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
14	2019-08-21 17:12:06	7.000000	697134266.000000	403162539.000000	46631131.000000	895.000000	560.000000	92.000000	127.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
15	2019-08-21 17:12:07	8.000000	697134329.000000	403162579.000000	46631137.000000	958.000000	600.000000	98.000000	127.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
16	2019-08-21 17:12:07	8.000000	697134394.000000	403162619.000000	46631144.000000	1023.000000	640.000000	105.000000	127.000000	79.000000	13.000000	130.000000	80.000000	14.000000	1301.000000	10.000000	
17	2019-08-21 17:12:08	9.000000	697134457.000000	403162658.000000	46631150.000000	1086.000000	679.000000	111.000000	127.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
18	2019-08-21 17:12:08	9.000000	697134520.000000	403162698.000000	46631156.000000	1149.000000	719.000000	117.000000	128.000000	81.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
19	2019-08-21 17:12:09	10.000000	697134584.000000	403162738.000000	46631163.000000	1213.000000	759.000000	124.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
20	2019-08-21 17:12:09	10.000000	697134647.000000	403162778.000000	46631169.000000	1276.000000	799.000000	130.000000	127.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
21	2019-08-21 17:12:10	11.000000	697134711.000000	403162818.000000	46631176.000000	1340.000000	839.000000	137.000000	128.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
22	2019-08-21 17:12:10	11.000000	697134775.000000	403162858.000000	46631182.000000	1404.000000	879.000000	143.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
23	2019-08-21 17:12:11	12.000000	697134838.000000	403162898.000000	46631189.000000	1467.000000	919.000000	150.000000	128.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
24	2019-08-21 17:12:11	12.000000	697134902.000000	403162938.000000	46631195.000000	1531.000000	959.000000	156.000000	128.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
25	2019-08-21 17:12:12	13.000000	697134965.000000	403162978.000000	46631202.000000	1594.000000	999.000000	163.000000	128.000000	80.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
26	2019-08-21 17:12:12	13.000000	697135029.000000	403163017.000000	46631208.000000	1658.000000	1038.000000	169.000000	127.000000	80.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
27	2019-08-21 17:12:13	14.000000	697135093.000000	403163057.000000	46631215.000000	1722.000000	1078.000000	176.000000	128.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
28	2019-08-21 17:12:13	14.000000	697135158.000000	403163098.000000	46631221.000000	1787.000000	1119.000000	182.000000	127.000000	79.000000	13.000000	130.000000	82.000000	12.000000	1301.000000	10.000000	
29	2019-08-21 17:12:14	15.000000	697135220.000000	403163137.000000	46631228.000000	1849.000000	1158.000000	189.000000	127.000000	80.000000	13.000000	124.000000	78.000000	14.000000	1301.000000	10.000000	
30	2019-08-21 17:12:14	15.000000	697135284.000000	403163176.000000	46631234.000000	1913.000000	1197.000000	195.000000	127.000000	80.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
31	2019-08-21 17:12:15	16.000000	697135347.000000	403163216.000000	46631241.000000	1976.000000	1237.000000	202.000000	127.000000	80.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
32	2019-08-21 17:12:15	16.000000	697135411.000000	403163256.000000	46631247.000000	2040.000000	1277.000000	208.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
33	2019-08-21 17:12:16	17.000000	697135475.000000	403163296.000000	46631254.000000	2104.000000	1317.000000	215.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
34	2019-08-21 17:12:16	17.000000	697135538.000000	403163336.000000	46631260.000000	2167.000000	1357.000000	221.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
35	2019-08-21 17:12:17	18.000000	697135603.000000	403163376.000000	46631267.000000	2232.000000	1397.000000	228.000000	129.000000	80.000000	13.000000	130.000000	80.000000	14.000000	1301.000000	10.000000	
36	2019-08-21 17:12:17	18.000000	697135666.000000	403163415.000000	46631273.000000	2295.000000	1436.000000	234.000000	128.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
37	2019-08-21 17:12:18	19.000000	697135730.000000	403163455.000000	46631279.000000	2359.000000	1476.000000	240.000000	128.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
38	2019-08-21 17:12:18	19.000000	697135794.000000	403163495.000000	46631286.000000	2423.000000	1516.000000	247.000000	128.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
39	2019-08-21 17:12:19	20.000000	697135857.000000	403163535.000000	46631292.000000	2486.000000	1556.000000	253.000000	128.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
40	2019-08-21 17:12:19	20.000000	697135921.000000	403163575.000000	46631299.000000	2550.000000	1596.000000	260.000000	128.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
41	2019-08-21 17:12:20	21.000000	697135985.000000	403163614.000000	46631305.000000	2614.000000	1635.000000	266.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
42	2019-08-21 17:12:20	21.000000	697136048.000000	403163654.000000	46631312.000000	2677.000000	1675.000000	273.000000	128.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
43	2019-08-21 17:12:21	22.000000	697136112.000000	403163694.000000	46631318.000000	2741.000000	1715.000000	279.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
